slug,start_ts,end_ts,start_iso,end_iso,token_id,btc_price_ref,mom_1m,mom_3m,vol_5m,regime,model_prob_up,market_prob_up,fee_buffer,edge,signal,outcome_up,trade_pnl,hit
btc-updown-5m-1770985800,1770985800,1770986100,2026-02-13T12:30:00+00:00,2026-02-13T12:35:00+00:00,47722341636020025915843932976990330034218854683264965505885107701241194729060,67048.76,0.0008743071186989085,0.00047823893473714773,0.0005849994929420723,Chop,0.5476955306734492,0.495,0.03,0.022695530673449232,SKIP,0.0,0.0,
btc-updown-5m-1770986100,1770986100,1770986400,2026-02-13T12:35:00+00:00,2026-02-13T12:40:00+00:00,27994146761208257612385374097418078826817726722477033412306872665948726040558,67055.54,0.00012036248347614657,-0.0016328393821743844,0.0006015090031922591,Trend,0.45057794419184194,0.505,0.03,-0.08442205580815806,SKIP,1.0,0.0,
btc-updown-5m-1770986400,1770986400,1770986700,2026-02-13T12:40:00+00:00,2026-02-13T12:45:00+00:00,44705876019508224371038818309164081843533996470186916658459544414923232094822,67106.93,0.0008675775659385536,0.0009994043848196143,0.0006126915800427573,Chop,0.5625665417796413,0.505,0.03,0.027566541779641268,SKIP,1.0,0.0,
btc-updown-5m-1770986700,1770986700,1770987000,2026-02-13T12:45:00+00:00,2026-02-13T12:50:00+00:00,42081912869546543562719290428314350274715413285727235141660414742454053062763,67113.19,0.0001460432922986888,0.0011964258195852084,0.0005321535809462635,Chop,0.5370750129506271,0.505,0.03,0.002075012950627092,SKIP,1.0,0.0,
btc-updown-5m-1770987000,1770987000,1770987300,2026-02-13T12:50:00+00:00,2026-02-13T12:55:00+00:00,74447049675836058750140205970920610123903142709616703814542469287173522816981,67026.11,-0.0013323294921458305,-0.00022538372660880248,0.0005587861572735176,Trend,0.4281956176914535,0.505,0.03,-0.10680438230854652,SKIP,1.0,0.0,
btc-updown-5m-1770987300,1770987300,1770987600,2026-02-13T12:55:00+00:00,2026-02-13T13:00:00+00:00,72088253162911906136286114829274058361675483345745496380042367842600398080932,67179.19,0.0016728048071332,0.001964578230916113,0.0004482477620952782,Trend,0.6268962072352933,0.505,0.03,0.09189620723529326,SKIP,0.0,0.0,
btc-updown-5m-1770987600,1770987600,1770987900,2026-02-13T13:00:00+00:00,2026-02-13T13:05:00+00:00,94016616416726154590387736222798560974116754935673035794196431598508996078503,67077.98,-0.0005246360663232727,0.000455050727491951,0.00047468960520979453,Chop,0.4853002401422524,0.495,0.03,-0.03969975985774757,SKIP,1.0,0.0,
btc-updown-5m-1770987900,1770987900,1770988200,2026-02-13T13:05:00+00:00,2026-02-13T13:10:00+00:00,68967156830351611804951124918418447341839774142349291672294683775808397205525,67157.29,0.0008538002980624977,0.0016186727390633151,0.0004427101071306176,Trend,0.5818120240238515,0.495,0.03,0.056812024023851465,SKIP,0.0,0.0,
btc-updown-5m-1770988200,1770988200,1770988500,2026-02-13T13:10:00+00:00,2026-02-13T13:15:00+00:00,93495683441436459389664331538111782229704708962735131525285359591931873120169,66978.98,-0.0017146088429342606,-0.0011417401157308954,0.000515852919956916,Trend,0.3854988661488107,0.505,0.03,-0.14950113385118932,SKIP,0.0,0.0,
btc-updown-5m-1770988500,1770988500,1770988800,2026-02-13T13:15:00+00:00,2026-02-13T13:20:00+00:00,100477243485261484841334253690533124066603824016870431695422212389413891065888,66966.56,-0.003195238193054599,-0.002363939406399255,0.000508527509660507,Trend,0.2933525610501263,0.5,0.03,-0.2366474389498737,SKIP,1.0,0.0,
btc-updown-5m-1770988800,1770988800,1770989100,2026-02-13T13:20:00+00:00,2026-02-13T13:25:00+00:00,10096577626893582247392941516221633503819449509496726245539128812148332109729,67110.04,0.0018807459565752798,0.0001338279901986038,0.0005370516055632224,Trend,0.582516275806497,0.5,0.03,0.05251627580649701,SKIP,1.0,0.0,
btc-updown-5m-1770989100,1770989100,1770989400,2026-02-13T13:25:00+00:00,2026-02-13T13:30:00+00:00,26909959034493602619995521533934791648634094945250075013837930606455284994211,67242.76,0.003904976321714118,0.0032323224486695435,0.0005785383256725738,Trend,0.7441464980425346,0.5,0.03,0.21414649804253463,TRADE,1.0,0.47,1
btc-updown-5m-1770989400,1770989400,1770989700,2026-02-13T13:30:00+00:00,2026-02-13T13:35:00+00:00,100455178580548630205223840418390115748591836782580149585353992828248897416170,67343.43,0.004226513569937265,0.002302171122397619,0.0006437775832875484,Trend,0.733270939087872,0.505,0.03,0.198270939087872,TRADE,1.0,0.46499999999999997,1
btc-updown-5m-1770989700,1770989700,1770990000,2026-02-13T13:35:00+00:00,2026-02-13T13:40:00+00:00,89017339819922483044259440062249400343554630506579689850903363049527164476165,67400.0,0.004320664985447877,0.0048006812369723135,0.0007852221392141858,Trend,0.7895794907884031,0.505,0.03,0.25457949078840303,TRADE,0.0,-0.535,0
btc-updown-5m-1770990000,1770990000,1770990300,2026-02-13T13:40:00+00:00,2026-02-13T13:45:00+00:00,28580970783969871888656350407065198596009131360497453516374011598819591522599,67300.0,0.000851244059583593,0.002125011298103399,0.0008265904557660197,Trend,0.5927056281746254,0.495,0.03,0.06770562817462536,SKIP,1.0,0.0,
btc-updown-5m-1770990300,1770990300,1770990600,2026-02-13T13:45:00+00:00,2026-02-13T13:50:00+00:00,100226875282660781375692685677608666179628670263702725466305406194825411450491,67276.45,-0.001833086053412506,0.004365068346110992,0.0008331199946443489,Trend,0.5400460187540829,0.505,0.03,0.005046018754082865,SKIP,0.0,0.0,
btc-updown-5m-1770990600,1770990600,1770990900,2026-02-13T13:50:00+00:00,2026-02-13T13:55:00+00:00,15925453917884903192812894500859154832070064194012691300189759589972664261581,67314.12,0.0002098068350667956,0.00519005306529106,0.0008935803351084654,Trend,0.6513158912524288,0.505,0.03,0.11631589125242883,TRADE,1.0,0.46499999999999997,1
btc-updown-5m-1770990900,1770990900,1770991200,2026-02-13T13:55:00+00:00,2026-02-13T14:00:00+00:00,115318450445124237275277815915325600134830551093995473216000190291550341749251,67367.15,0.00042100542332193725,0.003831170418017939,0.0008928524504623848,Trend,0.6224140515786886,0.505,0.03,0.08741405157868856,SKIP,0.0,0.0,
btc-updown-5m-1770991200,1770991200,1770991500,2026-02-13T14:00:00+00:00,2026-02-13T14:05:00+00:00,103113681792692991556970945389717615316252630965884298246636246147703360545670,67282.6,0.0017255574562991592,0.0009089353852562919,0.0008824951856467199,Trend,0.5949273301000579,0.505,0.03,0.059927330100057935,SKIP,0.0,0.0,
btc-updown-5m-1770991500,1770991500,1770991800,2026-02-13T14:05:00+00:00,2026-02-13T14:10:00+00:00,20904196882427612331862508075536093006671708163736587288824174756496606384067,67185.72,-0.003275056048023792,-0.0029636970484567936,0.0009065784470823977,Trend,0.2726107356996158,0.5,0.03,-0.2573892643003842,SKIP,1.0,0.0,
btc-updown-5m-1770991800,1770991800,1770992100,2026-02-13T14:10:00+00:00,2026-02-13T14:15:00+00:00,20727031830879331896600455964254764590981312476090584221991708992947149820838,67267.06,-0.00039869890119298716,-0.004330839487771126,0.0008719084429068242,Trend,0.3483402407901262,0.505,0.03,-0.1866597592098738,SKIP,0.0,0.0,
btc-updown-5m-1770992100,1770992100,1770992400,2026-02-13T14:15:00+00:00,2026-02-13T14:20:00+00:00,90341658886988384498394393567391613571011061723370135932732073994821879670427,67166.04,-0.0018228915107589164,-0.001990490341753438,0.0008924027339681734,Trend,0.35373183811438574,0.505,0.03,-0.18126816188561426,SKIP,1.0,0.0,
btc-updown-5m-1770992400,1770992400,1770992700,2026-02-13T14:20:00+00:00,2026-02-13T14:25:00+00:00,93496684515931670886846477414544893096894498769921495646606644940460801887649,67309.75,0.0011568900926151478,-0.00047533655194035267,0.0009101704232918392,Trend,0.5286667807324655,0.495,0.03,0.003666780732465541,SKIP,0.0,0.0,
btc-updown-5m-1770992700,1770992700,1770993000,2026-02-13T14:25:00+00:00,2026-02-13T14:30:00+00:00,1821758644758362068098722555413718703894028980645749623371471748330482812554,67288.45,0.0015898688987050283,0.0018126541872683934,0.0008851286246126897,Trend,0.6149788855470953,0.505,0.03,0.07997888554709534,SKIP,1.0,0.0,
btc-updown-5m-1770993000,1770993000,1770993300,2026-02-13T14:30:00+00:00,2026-02-13T14:35:00+00:00,51182733376468114306215157814936996054009817959862769080015496429056664176847,67321.35,-0.0004691702442133755,-0.0006986953234170021,0.0008566543719594374,Chop,0.4495323776785009,0.505,0.03,-0.0854676223214991,SKIP,1.0,0.0,
btc-updown-5m-1770993300,1770993300,1770993600,2026-02-13T14:35:00+00:00,2026-02-13T14:40:00+00:00,33191609759823144234624736349710179688177372374923138149263320626359325346492,67525.5,0.0035228928590271126,0.002894076159085976,0.0008868236148865069,Trend,0.7202973239810225,0.5,0.03,0.19029732398102253,TRADE,0.0,-0.53,0
btc-updown-5m-1770993600,1770993600,1770993900,2026-02-13T14:40:00+00:00,2026-02-13T14:45:00+00:00,55774398861410811067499673586616499400417053008246283722933702691405850288526,67166.43,-0.0023013498241866706,-0.00015555947224717254,0.00106466237863038,Trend,0.3833160999135723,0.505,0.03,-0.1516839000864277,SKIP,0.0,0.0,
btc-updown-5m-1770993900,1770993900,1770994200,2026-02-13T14:45:00+00:00,2026-02-13T14:50:00+00:00,47252743396805431935976211225842110355796943657195487396648827910048481456344,67766.3,0.006604111304378913,0.007618139901076529,0.0016542910280692197,Trend,0.884601426133956,0.505,0.03,0.34960142613395595,TRADE,1.0,0.46499999999999997,1
